Study area,Scenario,10th Percentile,50th Percentile,90th Percentile
"Central Jakarta, Indonesia",261080_VEI3_01,0.0,0.0,0.0
"Central Jakarta, Indonesia",261080_VEI3_05,0.0,0.0,0.0
"Central Jakarta, Indonesia",261080_VEI3_09,0.0,0.0,0.0
"Central Jakarta, Indonesia",261080_VEI4_01,0.0,0.0,0.0
"Central Jakarta, Indonesia",261080_VEI4_05,0.0,0.0,0.0
"Central Jakarta, Indonesia",261080_VEI4_09,0.0,0.0,0.0
"Central Jakarta, Indonesia",261080_VEI5_01,0.0,0.0,0.0
"Central Jakarta, Indonesia",261080_VEI5_05,0.0,0.0,0.0
"Central Jakarta, Indonesia",261080_VEI5_09,0.0,0.0,0.0
"Central Jakarta, Indonesia",261270_VEI3_01,0.0,0.0,0.0
"Central Jakarta, Indonesia",261270_VEI3_05,0.0,0.0,0.0
"Central Jakarta, Indonesia",261270_VEI3_09,0.0,0.0,0.0
"Central Jakarta, Indonesia",261270_VEI4_01,0.0,0.0,0.0
"Central Jakarta, Indonesia",261270_VEI4_05,0.0,0.0,0.0
"Central Jakarta, Indonesia",261270_VEI4_09,0.0,0.0,0.0
"Central Jakarta, Indonesia",261270_VEI5_01,0.0,0.0,0.0
"Central Jakarta, Indonesia",261270_VEI5_05,0.0,0.0,0.0
"Central Jakarta, Indonesia",261270_VEI5_09,0.0,0.0,0.0
"Central Jakarta, Indonesia",262000_VEI3_01,0.0,0.0,0.0
"Central Jakarta, Indonesia",262000_VEI3_05,0.0,0.0,0.0
"Central Jakarta, Indonesia",262000_VEI3_09,0.0,0.0,0.0
"Central Jakarta, Indonesia",262000_VEI4_01,0.0,0.0,0.0
"Central Jakarta, Indonesia",262000_VEI4_05,0.0,0.0,0.0
"Central Jakarta, Indonesia",262000_VEI4_09,0.0,0.0,0.0
"Central Jakarta, Indonesia",262000_VEI5_01,0.0,0.0,0.0
"Central Jakarta, Indonesia",262000_VEI5_05,0.0,0.0,0.0
"Central Jakarta, Indonesia",262000_VEI5_09,0.0,0.0,0.0
"Central Jakarta, Indonesia",263060_VEI3_01,0.0,0.0,0.0
"Central Jakarta, Indonesia",263060_VEI3_05,0.0,0.0,0.0
"Central Jakarta, Indonesia",263060_VEI3_09,0.0,0.0,0.0
"Central Jakarta, Indonesia",263060_VEI4_01,0.0,0.0,0.0
"Central Jakarta, Indonesia",263060_VEI4_05,0.0,0.0,0.0
"Central Jakarta, Indonesia",263060_VEI4_09,0.0,0.0,0.0
"Central Jakarta, Indonesia",263060_VEI5_01,0.0,0.0,0.0
"Central Jakarta, Indonesia",263060_VEI5_05,2758.484908182969,3774.3044823312366,4834.806823790607
"Central Jakarta, Indonesia",263060_VEI5_09,7044.839496474636,9630.5365236363,12277.835946585066
"Central Jakarta, Indonesia",263100_VEI3_01,0.0,0.0,0.0
"Central Jakarta, Indonesia",263100_VEI3_05,0.0,0.0,0.0
"Central Jakarta, Indonesia",263100_VEI3_09,0.0,0.0,0.0
"Central Jakarta, Indonesia",263100_VEI4_01,0.0,0.0,0.0
"Central Jakarta, Indonesia",263100_VEI4_05,0.0,0.0,0.0
"Central Jakarta, Indonesia",263100_VEI4_09,0.0,0.0,0.0
"Central Jakarta, Indonesia",263100_VEI5_01,0.0,0.0,0.0
"Central Jakarta, Indonesia",263100_VEI5_05,0.0,0.0,0.0
"Central Jakarta, Indonesia",263100_VEI5_09,1377.881847827491,1864.7045409048228,2384.64970042627
"Central Jakarta, Indonesia",263130_VEI3_01,0.0,0.0,0.0
"Central Jakarta, Indonesia",263130_VEI3_05,0.0,0.0,0.0
"Central Jakarta, Indonesia",263130_VEI3_09,0.0,0.0,0.0
"Central Jakarta, Indonesia",263130_VEI4_01,0.0,0.0,0.0
"Central Jakarta, Indonesia",263130_VEI4_05,0.0,0.0,0.0
"Central Jakarta, Indonesia",263130_VEI4_09,0.0,0.0,0.0
"Central Jakarta, Indonesia",263130_VEI5_01,0.0,0.0,0.0
"Central Jakarta, Indonesia",263130_VEI5_05,1115.3046125398425,1515.89588714826,1936.3189462960888
"Central Jakarta, Indonesia",263130_VEI5_09,2362.582341414251,3207.9318474630827,4094.198813400317
"Central Jakarta, Indonesia",263140_VEI3_01,0.0,0.0,0.0
"Central Jakarta, Indonesia",263140_VEI3_05,0.0,0.0,0.0
"Central Jakarta, Indonesia",263140_VEI3_09,0.0,0.0,0.0
"Central Jakarta, Indonesia",263140_VEI4_01,0.0,0.0,0.0
"Central Jakarta, Indonesia",263140_VEI4_05,0.0,0.0,0.0
"Central Jakarta, Indonesia",263140_VEI4_09,0.0,0.0,0.0
"Central Jakarta, Indonesia",263140_VEI5_01,0.0,0.0,0.0
"Central Jakarta, Indonesia",263140_VEI5_05,812.2830515130172,1114.0295481109674,1411.1622974876836
"Central Jakarta, Indonesia",263140_VEI5_09,1749.2440770669532,2377.958908887631,3046.016334252893
"Central Jakarta, Indonesia",263170_VEI3_01,0.0,0.0,0.0
"Central Jakarta, Indonesia",263170_VEI3_05,0.0,0.0,0.0
"Central Jakarta, Indonesia",263170_VEI3_09,0.0,0.0,0.0
"Central Jakarta, Indonesia",263170_VEI4_01,0.0,0.0,0.0
"Central Jakarta, Indonesia",263170_VEI4_05,0.0,0.0,0.0
"Central Jakarta, Indonesia",263170_VEI4_09,0.0,0.0,0.0
"Central Jakarta, Indonesia",263170_VEI5_01,0.0,0.0,0.0
"Central Jakarta, Indonesia",263170_VEI5_05,1857.574236851617,2537.023892989597,3233.123326462813
"Central Jakarta, Indonesia",263170_VEI5_09,4066.467793760328,5557.6703121341825,7106.283904358212
"Central Jakarta, Indonesia",263200_VEI3_01,0.0,0.0,0.0
