Study area,Scenario,10th Percentile,50th Percentile,90th Percentile
"Depok, West Java, Indonesia",261080_VEI3_01,0.0,0.0,0.0
"Depok, West Java, Indonesia",261080_VEI3_05,0.0,0.0,0.0
"Depok, West Java, Indonesia",261080_VEI3_09,0.0,0.0,0.0
"Depok, West Java, Indonesia",261080_VEI4_01,0.0,0.0,0.0
"Depok, West Java, Indonesia",261080_VEI4_05,0.0,0.0,0.0
"Depok, West Java, Indonesia",261080_VEI4_09,0.0,0.0,0.0
"Depok, West Java, Indonesia",261080_VEI5_01,0.0,0.0,0.0
"Depok, West Java, Indonesia",261080_VEI5_05,0.0,0.0,0.0
"Depok, West Java, Indonesia",261080_VEI5_09,0.0,0.0,0.0
"Depok, West Java, Indonesia",261270_VEI3_01,0.0,0.0,0.0
"Depok, West Java, Indonesia",261270_VEI3_05,0.0,0.0,0.0
"Depok, West Java, Indonesia",261270_VEI3_09,0.0,0.0,0.0
"Depok, West Java, Indonesia",261270_VEI4_01,0.0,0.0,0.0
"Depok, West Java, Indonesia",261270_VEI4_05,0.0,0.0,0.0
"Depok, West Java, Indonesia",261270_VEI4_09,0.0,0.0,0.0
"Depok, West Java, Indonesia",261270_VEI5_01,0.0,0.0,0.0
"Depok, West Java, Indonesia",261270_VEI5_05,0.0,0.0,0.0
"Depok, West Java, Indonesia",261270_VEI5_09,0.0,0.0,0.0
"Depok, West Java, Indonesia",262000_VEI3_01,0.0,0.0,0.0
"Depok, West Java, Indonesia",262000_VEI3_05,0.0,0.0,0.0
"Depok, West Java, Indonesia",262000_VEI3_09,0.0,0.0,0.0
"Depok, West Java, Indonesia",262000_VEI4_01,0.0,0.0,0.0
"Depok, West Java, Indonesia",262000_VEI4_05,0.0,0.0,0.0
"Depok, West Java, Indonesia",262000_VEI4_09,0.0,0.0,0.0
"Depok, West Java, Indonesia",262000_VEI5_01,0.0,0.0,0.0
"Depok, West Java, Indonesia",262000_VEI5_05,0.0,0.0,0.0
"Depok, West Java, Indonesia",262000_VEI5_09,0.0,0.0,0.0
"Depok, West Java, Indonesia",263060_VEI3_01,0.0,0.0,0.0
"Depok, West Java, Indonesia",263060_VEI3_05,0.0,0.0,0.0
"Depok, West Java, Indonesia",263060_VEI3_09,0.0,0.0,0.0
