Study area,Scenario,10th Percentile,50th Percentile,90th Percentile
"San Juan, Second District, Metro Manila, Philippines",Agung_VEI3_10,1006.9993182453063,1358.922171002098,1739.6141631708713
"San Juan, Second District, Metro Manila, Philippines",Agung_VEI3_50,32992.45070025227,44947.47506785611,57474.81375704684
"San Juan, Second District, Metro Manila, Philippines",Agung_VEI3_90,330830.8888853328,451990.28540779627,576125.7686958724
"San Juan, Second District, Metro Manila, Philippines",Agung_VEI4_10,998.8091286659245,1361.8368954454004,1735.8835107967948
"San Juan, Second District, Metro Manila, Philippines",Agung_VEI4_50,33034.349752836024,44819.90747966405,57432.0386349023
"San Juan, Second District, Metro Manila, Philippines",Agung_VEI4_90,329349.8630357441,445848.16833397,574105.037515693
"San Juan, Second District, Metro Manila, Philippines",Agung_VEI5_10,997.9104678957816,1367.3192832582815,1742.7752423850482
"San Juan, Second District, Metro Manila, Philippines",Agung_VEI5_50,33197.049828452386,45177.527298315945,57347.877561796224
"San Juan, Second District, Metro Manila, Philippines",Agung_VEI5_90,331713.90596743027,451853.9699687419,573226.9968483438
"San Juan, Second District, Metro Manila, Philippines",Awu_VEI3_10,998.5733159699269,1353.371142185551,1753.0116401846308
"San Juan, Second District, Metro Manila, Philippines",Awu_VEI3_50,32887.29857665094,45106.20705130037,57634.44712751244
"San Juan, Second District, Metro Manila, Philippines",Awu_VEI3_90,329788.31739268894,453209.111955623,575022.9691697106
"San Juan, Second District, Metro Manila, Philippines",Awu_VEI4_10,1003.8788870083893,1359.3031516296653,1742.2713034514945
"San Juan, Second District, Metro Manila, Philippines",Awu_VEI4_50,33172.85437263081,45260.45933995402,57624.29377165102
"San Juan, Second District, Metro Manila, Philippines",Awu_VEI4_90,330321.3102240577,450826.82879680727,576756.0309913142
"San Juan, Second District, Metro Manila, Philippines",Awu_VEI5_10,1004.3442950140384,1359.0101954513707,1743.2665313746916
"San Juan, Second District, Metro Manila, Philippines",Awu_VEI5_50,32975.05072813508,44994.83458766033,57512.50623053785
"San Juan, Second District, Metro Manila, Philippines",Awu_VEI5_90,330150.9179874045,450150.52956533595,574567.1487378288
"San Juan, Second District, Metro Manila, Philippines",Banda_Api_VEI3_10,1000.4205298478881,1359.6074592834993,1738.951782758269
"San Juan, Second District, Metro Manila, Philippines",Banda_Api_VEI3_50,32875.89032764847,44966.62447301319,57607.38908726819
"San Juan, Second District, Metro Manila, Philippines",Banda_Api_VEI3_90,330913.60432196554,449895.67602723127,576734.2606236993
"San Juan, Second District, Metro Manila, Philippines",Banda_Api_VEI4_10,1000.6676826992939,1360.4499649676268,1745.4637861654237
"San Juan, Second District, Metro Manila, Philippines",Banda_Api_VEI4_50,32922.39890805531,45042.393600575735,57581.503475025864
"San Juan, Second District, Metro Manila, Philippines",Banda_Api_VEI4_90,331025.162055684,447143.8094533143,575424.4104677996
"San Juan, Second District, Metro Manila, Philippines",Banda_Api_VEI5_10,1005.5667166695589,1369.263817883327,1743.0082959086342
"San Juan, Second District, Metro Manila, Philippines",Banda_Api_VEI5_50,32970.706193571874,44954.33359135244,57570.036403025464
"San Juan, Second District, Metro Manila, Philippines",Banda_Api_VEI5_90,328242.6084696477,448223.605426681,574132.2630216985
"San Juan, Second District, Metro Manila, Philippines",Bulusan_VEI3_10,999.5662148021822,1362.9565036519357,1742.913120316103
"San Juan, Second District, Metro Manila, Philippines",Bulusan_VEI3_50,32907.172307141045,44784.902064995855,57386.38067221332
"San Juan, Second District, Metro Manila, Philippines",Bulusan_VEI3_90,329938.7440510365,451046.10189404717,572803.1204276257
"San Juan, Second District, Metro Manila, Philippines",Bulusan_VEI4_10,998.5241702954456,1362.8567866097387,1733.7282494688734
"San Juan, Second District, Metro Manila, Philippines",Bulusan_VEI4_50,32986.20271865692,44796.12113458097,57439.582790714645
"San Juan, Second District, Metro Manila, Philippines",Bulusan_VEI4_90,327926.40122598584,447448.16396002,575092.9241813065
"San Juan, Second District, Metro Manila, Philippines",Bulusan_VEI5_10,1002.1572456946914,1359.77738254222,1752.4842557461097
"San Juan, Second District, Metro Manila, Philippines",Bulusan_VEI5_50,33069.59367935248,45114.58004895697,57541.62339755962
"San Juan, Second District, Metro Manila, Philippines",Bulusan_VEI5_90,329850.3666739206,451024.54765164887,574026.9199921262
