Study area,Scenario,10th Percentile,50th Percentile,90th Percentile
"Taguig, Fourth District, Metro Manila, Philippines",Agung_VEI3_10,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Agung_VEI3_50,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Agung_VEI3_90,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Agung_VEI4_10,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Agung_VEI4_50,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Agung_VEI4_90,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Agung_VEI5_10,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Agung_VEI5_50,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Agung_VEI5_90,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Awu_VEI3_10,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Awu_VEI3_50,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Awu_VEI3_90,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Awu_VEI4_10,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Awu_VEI4_50,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Awu_VEI4_90,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Awu_VEI5_10,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Awu_VEI5_50,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Awu_VEI5_90,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Banda_Api_VEI3_10,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Banda_Api_VEI3_50,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Banda_Api_VEI3_90,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Banda_Api_VEI4_10,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Banda_Api_VEI4_50,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Banda_Api_VEI4_90,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Banda_Api_VEI5_10,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Banda_Api_VEI5_50,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Banda_Api_VEI5_90,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Bulusan_VEI3_10,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Bulusan_VEI3_50,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Bulusan_VEI3_90,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Bulusan_VEI4_10,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Bulusan_VEI4_50,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Bulusan_VEI4_90,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Bulusan_VEI5_10,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Bulusan_VEI5_50,0.0,0.0,0.0
"Taguig, Fourth District, Metro Manila, Philippines",Bulusan_VEI5_90,0.0,0.0,0.0
